"ControlId","Title","AssessmentStatus","Section"
"1.1.1","Ensure Administrative accounts are cloud-only","Automated","1.1"
"1.1.2","Ensure two emergency access accounts have been defined","Manual","1.1"
"1.1.3","Ensure that between two and four global admins are designated","Automated","1.1"
"1.1.4","Ensure administrative accounts use licenses with a reduced application footprint","Automated","1.1"
"1.2.2","Ensure sign-in to shared mailboxes is blocked","Automated","1.2"
"1.3.1","Ensure the 'Password expiration policy' is set to 'Set passwords to never expire (recommended)'","Automated","1.3"
"1.3.4","Ensure 'User owned apps and services' is restricted","Automated","1.3"
"1.3.5","Ensure internal phishing protection for Forms is enabled","Automated","1.3"
"1.3.9","Ensure shared bookings pages are restricted to select users","Automated","1.3"
"2.1.2","Ensure the Common Attachment Types Filter is enabled","Automated","2.1"
"2.1.3","Ensure notifications for internal users sending malware is Enabled","Automated","2.1"
"2.1.6","Ensure Exchange Online Spam Policies are set to notify administrators","Automated","2.1"
"2.1.8","Ensure that SPF records are published for all Exchange Domains","Automated","2.1"
"2.1.9","Ensure that DKIM is enabled for all Exchange Online Domains","Automated","2.1"
"2.1.10","Ensure DMARC Records for all Exchange Online domains are published","Automated","2.1"
"2.1.12","Ensure the connection filter IP allow list is not used","Automated","2.1"
"2.1.13","Ensure the connection filter safe list is off","Automated","2.1"
"2.1.14","Ensure inbound anti-spam policies do not contain allowed domains","Automated","2.1"
"2.1.15","Ensure outbound anti-spam message limits are in place","Automated","2.1"
"2.2.1","Ensure emergency access account activity is monitored","Manual","2.2"
"2.4.1","Ensure Priority account protection is enabled and configured","Automated","2.4"
"2.4.2","Ensure Priority accounts have 'Strict protection' presets applied","Automated","2.4"
"2.4.4","Ensure Zero-hour auto purge for Microsoft Teams is on","Automated","2.4"
"3.1.1","Ensure Microsoft 365 audit log search is Enabled","Automated","3.1"
"3.2.1","Ensure DLP policies are enabled","Automated","3.2"
"3.2.2","Ensure DLP policies are enabled for Microsoft Teams","Automated","3.2"
"3.3.1","Ensure Information Protection sensitivity label policies are published","Automated","3.3"
